AccID,log2FC,Pvalue,FDR,S2_1,S2_2,S2_3,NC_1,NC_2,NC_3,EnsemblID
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000201285
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000212595
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000252830
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274059
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274097
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274408
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274663
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000274759
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000275305
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000276442
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000276861
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277049
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277411
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277418
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000277488
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000278457
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000283433
5S_rRNA,2.292085717,0.433858009,1,1,2,0,0,0,0,ENSG00000284736
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000275877
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000276871
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000278294
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000283274
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000283291
5_8S_rRNA,0.40799522,0.159195125,0.250983305,89,88,99,79,33,72,ENSG00000283568
A1BG-AS1,-0.836467548,0.462160864,0.583823951,4,1,2,1,5,6,ENSG00000268895
A2ML1-AS1,0.816399412,0.841422154,1,1,0,0,0,0,0,ENSG00000256661
A3GALT2,-0.145370721,0.966730975,1,0,0,1,0,1,0,ENSG00000184389
